moduleID	moduleName	runStartTS	runEndTS	fromTS	untilTS	dataFrequency	status	recordsAppended	lastOptimizedTS	vacuumRetentionHours	inputConfig	parsedConfig	Pipeline_SnapTS	Overwatch_RunID	organization_id	primordialDateString
2016	Silver_AccountLogins	1.6154E+12	1.6154E+12	1.61532E+12	1.61539E+12	milliSecond	SUCCESS	1257956	1.61539E+12	168	REDACTED	REDACTED	2021-03-10T18:24:22.000Z	515d9dace06447519fb8a167bc23df68	REDACTED	10/27/2020
2014	Silver_ClusterSpec	1.6154E+12	1.6154E+12	1.61532E+12	1.61539E+12	milliSecond	SUCCESS	5326	1.61539E+12	168	REDACTED	REDACTED	2021-03-10T18:24:22.000Z	515d9dace06447519fb8a167bc23df68	REDACTED	10/27/2020
2010	Silver_JobsStatus	1.6154E+12	1.6154E+12	1.61532E+12	1.61539E+12	milliSecond	SUCCESS	210	1.61539E+12	168	REDACTED	REDACTED	2021-03-10T18:24:22.000Z	515d9dace06447519fb8a167bc23df68	REDACTED	10/27/2020
2005	Silver_SPARK_Executions	1.6154E+12	1.6154E+12	1.61532E+12	1.61539E+12	milliSecond	SUCCESS	54047	1.61539E+12	168	REDACTED	REDACTED	2021-03-10T18:24:22.000Z	515d9dace06447519fb8a167bc23df68	REDACTED	10/27/2020
2003	Silver_SPARK_Executors	1.6154E+12	1.6154E+12	1.61532E+12	1.61539E+12	milliSecond	SUCCESS	9688	1.61539E+12	168	REDACTED	REDACTED	2021-03-10T18:24:22.000Z	515d9dace06447519fb8a167bc23df68	REDACTED	10/27/2020
3014	Gold_SparkExecutor	1.61534E+12	1.61534E+12	1.61527E+12	1.61532E+12	milliSecond	EMPTY: 3014-Gold_SparkExecutor Module: SKIPPING Downstream modules that depend on this module will not progress until new data is received by this module.  Module Dependencies: 2003 ALERT: No New Data Retrieved for Module 3014-Gold_SparkExecutor! Skipping	0	1.61527E+12	168	REDACTED	REDACTED	2021-03-10T01:01:09.000Z	79e6a9011d5c48a39857dcb4a2d5acde	REDACTED	10/27/2020
																
																
																
																
																
																
																
																
																
