organization_id	workspace_name	module_id	module_name	primordialDate	fromTS	untilTS	status	write_metrics	Pipeline_SnapTS	Overwatch_RunID
demo	demo	1007	Bronze_Libraries_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""3"",""numOutputBytes"":""3410""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1008	Bronze_Policies_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""14"",""numOutputBytes"":""10621""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1002	Bronze_Clusters_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""126"",""numOutputBytes"":""61248""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1009	Bronze_Instance_Profile_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""8"",""numOutputBytes"":""2459""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1012	Bronze_Job_Runs_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""683"",""numOutputBytes"":""162106""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1001	Bronze_Jobs_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""682"",""numOutputBytes"":""151520""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1006	Bronze_SparkEventLogs	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""136"",""numOutputRows"":""872452"",""numOutputBytes"":""82296985""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1003	Bronze_Pools_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""5"",""numOutputBytes"":""8734""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
demo	demo	1010	Bronze_Token_Snapshot	01/02/23	2023-03-29T09:07:42.237+0000	2023-03-30T09:07:32.326+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""3"",""numOutputBytes"":""3001""}"	2023-03-30T09:07:32.000+0000	fd920747b23d4b4e88ad2f5297977a69
2753962522174650	overwatch-field	1007	Bronze_Libraries_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""168"",""numOutputBytes"":""12297""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1012	Bronze_Job_Runs_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""20184"",""numOutputBytes"":""2614534""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
