	Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
I3EN Extra Large,i3en.xlarge,32.0,4,0.452,0.452,1.45,0,None,0,Intel Xeon Platinum 8175,3.1,2500 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.308,0
M4 General Purpose Deca Extra Large,m4.10xlarge,160.0,40,2,2,8.00,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,10 Gigabit,4000,500,FALSE,TRUE,1.239,0
M4 General Purpose 16xlarge,m4.16xlarge,256.0,64,3.2,3.2,12.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,10000,1250,FALSE,TRUE,1.9824,0
M4 General Purpose Double Extra Large,m4.2xlarge,32.0,8,0.4,0.4,1.50,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,1000,125,FALSE,TRUE,0.2478,0
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64.0,16,0.8,0.8,3.00,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,2000,250,FALSE,TRUE,0.4956,0
M4 General Purpose Large,m4.large,8.0,2,0.1,0.1,0.40,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,Moderate,450,56.25,FALSE,TRUE,0.062,0
M4 General Purpose Extra Large,m4.xlarge,16.0,4,0.2,0.2,0.75,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,750,93.75,FALSE,TRUE,0.1239,0
M5 General Purpose 12xlarge,m5.12xlarge,192.0,48,2.304,2.304,8.23,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,10 Gigabit,7000,875,TRUE,TRUE,1.452,0
M5 General Purpose 16xlarge,m5.16xlarge,256.0,64,3.072,3.072,10.96,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,20 Gigabit,10000,1250,TRUE,TRUE,1.935,0
M5 General Purpose 24xlarge,m5.24xlarge,384.0,96,4.608,4.608,16.46,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,2.903,0
M5 General Purpose Double Extra Large,m5.2xlarge,32.0,8,0.384,0.384,1.37,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.245,0
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64.0,16,0.768,0.768,2.74,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.484,0
M5 General Purpose Eight Extra Large,m5.8xlarge,128.0,32,1.536,1.536,5.48,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,0.968,0
M5 General Purpose Large,m5.large,8.0,2,0.096,0.096,0.35,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.061,0
M5 General Purpose Extra Large,m5.xlarge,16.0,4,0.192,0.192,0.69,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.123,0
M5A 12xlarge,m5a.12xlarge,192.0,48,2.064,2.064,7.37,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,1.313,0
